amount,sender_account_age,receiver_account_age
44.71,1284,3224
1.93,353,2502
70.98,1398,214
7.38,3575,3041
12.98,1791,2688
11.48,2121,813
14.13,2371,1669
21.45,1369,3481
38.9,2711,2862
668.39,453,839
16.71,456,1939
82.19,669,2323
1.93,1737,1006
124.49,2518,2409
112.74,3344,3217
41.12,3357,1679
246.36,2287,2383
2.47,1349,81
30.88,3008,3048
6.23,1572,3443
16.42,3067,2679
25.75,3537,2276
444.51,218,1681
24.43,1271,2819
163.2,1889,580
8.45,1607,3352
65.18,3143,2547
2.04,1292,3485
80.64,1012,1785
3.44,243,2497
31.4,323,2385
81.9,2818,1849
37.72,1030,3558
328.55,3392,570
14.63,1951,1905
157.27,2803,186
27.85,3075,2364
46.09,1231,1953
23.9,308,50
30.76,1886,1985
631.57,2492,559
45.86,787,564
2172.6856880697346,16,3197
163.06,132,197
68.2,2773,2965
41.97,3446,597
204.98,1186,81
48.89,1418,1029
11.59,2150,328
5.86,2880,3026
34.93,1331,422
38.62,2793,62
39.32,556,2715
75.55,1287,2548
82.18,545,2272
62.1,2085,3556
77.42,3425,1010
0.22,80,175
228.6,3499,2530
17.25,163,2206
363.89,2204,287
338.35159309429935,16,1423
39.65,893,76
3.53,2308,817
171.95,1194,1575
1534.86,414,1362
3.88,1563,2095
23.8,2578,2901
1.68,2738,2188
176.87,2317,1739
5.78,626,640
84.87,1332,2833
14.27,3642,2572
35.83,2527,1239
39.54,741,1099
10.45,721,1802
131.74,1972,2493
29.45,3101,69
40.12,827,2293
4.08,2681,2354
11.48,96,2636
56.74,1727,612
7.48,2910,3124
17.25,770,1550
3.12,3187,2448
29.57,2614,1732
57.55766091691411,25,3005
16.74,368,364
11.79,1880,1473
16.93,600,2018
25.69,1800,2006
7.56,1579,2546
14.95,2766,1056
76.77,1439,1180
7.94,3644,678
146.95,3512,1186
3.0,3190,1682
611.35,355,1566
127.5,2210,477
16.38,54,771
29.8,2130,3330
30.28,2313,497
128.41,174,1198
23.94,2465,294
3.36,1442,2081
7.19,405,3191
193.19,3172,267
2.54,1924,3376
30.76,344,792
15.73,2107,409
1104.8994102699185,11,2707
102.19,3468,3477
2.15,2203,2439
200.47,1338,1649
42.2,3279,3503
2792.2,1544,230
19.87,3220,2830
16.89,1683,3480
68.01,990,3573
4.97,2673,2764
18.41,2306,3252
1.42,1809,2439
1.02,594,1901
197.94,49,3339
79.24,3200,37
3.32,2322,422
758.6,653,908
28.24,3038,3118
38.19,1287,2370
49.55,154,2179
37.31,3614,1677
21.07,786,239
10.87,3374,294
87.09,984,1238
34.23,1701,34
2.8,1155,2568
6.24,3133,2175
21.18,3479,3505
6.75,2710,1397
51.87,677,2345
271.71,387,920
53.3,1547,11
15.9,1661,3295
10.75,3369,2666
7.43,2133,3419
50.46,3540,1791
23.16,3404,3359
133.05,2757,1480
11.06,2137,2983
26.35,2176,1388
49.8,3343,2303
4.55,769,948
13.42,3023,2430
28.64,1894,2467
20.75,1804,242
25.54,2049,803
43.98,2213,1873
320.88,774,1601
70.13,2861,1812
98.21,3502,1815
19.45,2641,1938
6.38,1734,684
9.4,1644,1525
19.69,2970,2772
234.19124551690675,12,1372
119.23,3447,2707
1.43,2719,1674
18.38,2099,2289
2.67,3459,2734
1.82,182,368
550.97,2783,1945
8.31,1999,3000
12.99,1431,1957
35.43,849,1981
1.89,2783,388
26.53,1646,1697
42.04,2491,997
130.88,3286,748
65.41,1162,316
2.64,3507,1220
57.95,82,3078
32.08,3461,654
2.97,3112,2045
111.37,2996,45
12.54,1962,1534
4.13,1299,958
71.76,1319,1144
54.54,194,389
109.57,3595,2650
7.24,1350,3034
9.79,2392,3619
169.71,855,943
7.23,2752,2162
84.27,720,540
5.82,734,2711
36.61,2583,1682
61.53,500,248
5.68,1831,2549
45.29,1656,147
16.77,2925,1797
23.76,2426,2888
429.96,3572,1416
6.86,1338,1225
6.56,1340,3287
369.58,2669,3547
50.02,125,2673
217.87325428051363,12,422
255.32,1761,1733
21.96,1536,3191
60.23,3279,3026
17.06,2280,3579
35.44,1576,1827
47.15,519,705
46.22,2392,2280
8.86,274,752
5.08,2774,2975
18.6,807,388
11.01,3425,833
249.24,3076,1099
5.98,3576,1818
3.33,1444,2242
792.5,2262,276
0.23,3522,3448
33.31,2953,2883
13.12,1896,1874
82.48,1018,2352
19.46,697,2815
24.34,1040,1564
77.93,937,3357
602.87,611,1689
21.79,2887,850
92.33,3254,2941
95.91,1258,1928
11.67,547,2630
4.26,2912,963
129.27,59,2893
108.85,1428,1370
14.81,411,2372
282.4,311,3523
20.19,1813,1429
110.5,121,1480
27.08,619,3347
11.15,724,3120
10.86,2507,2992
53.35,953,2178
1.98,2798,3521
474.05,142,138
34.98,3339,989
1.28,3147,2629
149.18,2112,1345
236.37,1332,306
78.66,3239,3401
6.56,1732,1272
207.49,1270,1501
3.19,860,3247
35.57,3597,400
29.75,1289,2157
77.79,72,1213
49.73,2286,2291
12.04,1405,3058
8.43,1652,2474
84.25,1311,409
5.44,2864,2018
31.07,863,164
29.59,25,628
0.57,2847,2267
14.45,1312,23
183.29,26,3613
497.63,2775,905
52.53,87,1641
162.09,462,1208
3192.15,3369,756
209.08,3281,1954
24.44,2274,3341
27.67,867,1434
327.51,362,1948
80.51,2653,290
29.1,3086,183
14.9,2527,1843
62.65,2416,2273
172.34,996,2848
95.47,2708,1988
4.09,782,599
9.24,2061,1098
37.91,2082,2447
158.22,225,1566
41.11,3506,472
11.95,1151,1994
19.55,182,2272
9.88,1089,1098
16.56,2231,55
2.71,10,2825
85.53,2392,2141
42.24,3538,1048
150.93,2083,3400
166.78,2439,865
118.06,2372,647
50.07,1061,834
49.26,2691,2864
459.0,2892,2824
2.19,2725,405
235.87,3636,3539
51.8,219,2852
19.46,838,2012
237.55,496,2011
16.0,36,947
193.98,96,2278
19.17,59,3024
1.62,1070,1113
96.21,2681,1892
330.96,1121,3095
2.61,861,195
21.27,2111,2062
68.6,2914,2023
29.74,3225,2235
13.61,2347,2581
126.28,1604,1807
144.96,2701,1970
45.56,16,1013
489.89,3335,939
86.49,976,1977
3575.6523163396223,20,1042
0.15,1136,3408
20.29,1351,2038
62.36,2585,1518
7.89,3052,1516
100.96,2563,1138
3.6,2237,1404
42.10467788359559,3,3455
3.81,1349,2
7.08,2966,2903
207.23,1005,2022
4.66,3628,261
113.55,2380,2009
53.1,204,110
91.52,2107,445
8.12,1915,3251
5.43,1568,2192
29.89,1292,2829
252.0540193974701,4,2920
1.0,2341,2334
96.16,2175,602
171.61,1220,486
7.03,1001,1160
9.37,9,3441
26.06,1520,159
34.5,554,404
1057.790530722346,4,1277
369.9210750052256,11,2612
41.03,898,2827
16.89,3227,362
1557.37,591,2507
52.91,353,2591
229.7,37,2081
133.41,2361,1533
7.21,2178,2559
12.96,536,2704
157.07,1232,2893
21.33,3089,1608
21.57,3512,2680
218.31,630,329
10.83,872,326
25.0,1979,1343
22.5,2004,1072
70.47,2776,1958
86.62,2475,2651
31.61,3166,3480
19.34,2281,1496
2.57,137,921
11.39,2491,3460
47.28,25,2509
217.2734742359108,3,152
14.67,818,999
54.15,1839,1669
164.72,2039,1452
76.43,1570,425
11.58,444,1675
1.31,1828,2012
114.33,1008,227
567.36,3059,918
11.87,3178,2816
14.11,1644,3502
25.83,3647,1988
81.03,1492,3373
14.81,97,2598
16.52,3334,1616
31.54,2726,2943
3.07,2447,1514
0.64,947,1951
202.0937727456108,27,2239
4.22,1735,1157
17.83,1930,1165
10.0,2434,2442
45.41,1177,118
36.6,2250,512
32.45,2531,2007
216.44,225,654
17.52,790,3181
406.14,172,2536
54.31,3370,1514
7.8,315,132
218.73,2668,2022
184.21,597,111
157.57,716,2452
196.99,660,1344
55.52,1652,3639
336.61,2471,2113
54.46,2898,455
21.67,3247,679
171.35909878861384,21,2131
253.25,1332,3513
292.84,538,336
17.4,629,2146
1074.23,3044,776
13.42,1541,1851
5.62,2248,3264
182.76695236200425,16,264
3.8,1852,2562
6.36,810,2568
99.16,2379,2515
21.1,1720,3599
51.61,465,3540
214.32,1778,2639
172.64941698702688,24,2752
186.47,1723,3442
179.12,333,3403
3.08,1174,819
126.78,2383,3083
21.53,2447,1399
2.18,3252,3504
14.87,2766,2203
10.08,475,2605
2079.31,3030,1136
108.54,3272,162
27.18,3031,772
20.01,401,1806
1298.25,573,1272
37.07,3238,1690
13.27,2234,2280
14.25,3005,1135
32.31,1597,715
8.72,2490,2129
0.47,548,1617
52.64,2618,954
223.29,464,1709
1.55,2270,3323
93.74,764,2022
8.41,2543,1220
93.87,118,982
51.66,2002,3544
237.54,2541,2324
75.6,2570,3634
101.21,1305,3352
368.13,2226,2936
118.17662176843646,14,1636
29.04,61,2542
1.44,3337,2397
173.15,3466,908
545.05,1335,1824
11.94,1231,2569
17.49,1315,1800
39.69,3440,1275
18.0,1593,2714
21.15,3560,2168
41.89,923,921
10.22,3313,1082
28.68,3611,909
46.07,3148,518
27.65,2628,2039
8.43,3468,2109
27.25,1457,2924
31.53,2868,543
26.95,1194,1239
4.28,529,949
38.35,94,1430
2.02,1334,3442
426.66,3646,3492
14.89,1682,1266
67.76,90,2649
15.66,1335,51
11.75,2279,1095
0.62,1837,1447
13.45,544,1974
13.85,2253,20
91.26,673,3409
5.91,1153,2016
87.79,3302,3347
433.72,2286,878
157.47,146,2825
15.84,2026,645
230.31,2823,1008
30.58,1907,2437
9.53,1972,3486
37.09,3494,2727
49.95,2201,2260
45.17,248,1337
552.63,3449,1533
76.77,1758,1097
46.81,3552,1662
14.25,3410,3174
7.52,3576,2657
12.01,1220,362
10.78,3268,872
0.93,1177,443
2.52,1124,69
108.87,2687,2890
87.09,2782,2739
530.0,3376,644
9.77,2059,1499
13.12,512,3124
15.33,417,1179
85.72,3369,3417
3.56,3155,1557
155.2,638,1465
81.17,3326,3526
76.72,1908,3292
80.63,2784,2008
9.59,1355,1272
334.23,2943,1745
612.7,3215,2845
30.25,114,2556
0.77,2458,2934
31.34,1462,190
133.73,1217,907
17.1,3367,3117
5.41,3280,1040
15.92,2202,779
26.25,334,2933
6.84,2519,2313
46.95,134,240
4.98,1958,1000
24.5,1158,2206
19.62,2859,2216
155.95,1377,199
9.05,50,3075
138.31,2828,2582
266.1,2972,339
493.42,1152,2730
57.24,93,305
142.03,1708,600
82.23,2191,2170
5108.944364813188,24,659
2.65,1319,153
55.8,2156,91
377.09,1583,2140
58.5,1204,3425
18.62,2530,468
110.33,2213,2225
16.55,816,2448
6.1,296,3403
79.28,353,1795
9.99,1708,2090
662.98,1243,1443
31.08,2917,2174
101.88,2171,2173
53.33,3133,807
34.08,1640,3305
69.3,1071,2176
99.03,2788,3170
9.48,1655,2256
19.56,1437,25
295.91,2168,330
32.84,830,1010
145.13,3570,1286
13.19,1665,1294
91.34,199,841
56.93,3163,3072
16.15,638,3545
78.78,2473,674
681.06,697,385
141.3147760869625,4,2855
64.87,3237,2898
9.06,3563,3057
9.57,729,2101
92.2,2789,2105
111.44,181,1113
121.13,1553,748
4.78,2386,1245
202.26,3256,2147
12.52,2016,3329
7.16,2208,2873
33.43,1090,727
45.96,1532,1264
99.8,1740,1591
2.13,883,2397
23.42,1843,1857
117.44,3253,2280
223.56,938,707
406.77,3402,807
84.42,20,2701
31.11,928,1092
36.57,3299,1874
128.21,2321,3123
53.29,268,3508
11.98,975,667
50.35,1758,3000
15.32,1639,3055
238.24,780,1648
505.58,1259,2927
110.3,713,1967
30.93,290,3605
10.87,1346,1815
309.4,849,2498
18.96,815,384
9.51,2322,492
4.42,65,2532
2.3,1061,263
68.87,3153,737
8.45,2715,2963
12.85,61,931
9.78,705,2121
6.5,1874,3564
4.18,809,2809
9.56,2595,191
46.11,1852,448
15.88,601,3649
6.13,3119,2111
30.93,2928,957
192.54,300,1718
212.6,451,631
9.27,1507,2414
46.71,2519,3491
8.95,2729,1220
8.82,1578,1268
52.0,2004,3488
16.78,3007,3542
1.29,3276,51
3.19,2089,116
14.25,3411,3371
4.6,2228,173
180.15,2881,2445
57.53,2769,3228
119.62,1574,1690
14.91,1791,2292
12.17,3232,1171
72.33,54,1201
28.24,2434,349
1470.5265154705653,1,677
6.66,3069,1683
197.34,1375,3108
8.08,1061,771
5.01,1355,99
8.79,3109,1074
29.2,3243,122
22.92,2751,2106
59.8,1104,2946
244.17,149,640
1.41,2342,2719
153.25,2093,104
11.62,1434,197
22.31,569,2769
14.71,1434,330
17.14,1193,1213
22.82,2352,3488
98.89,443,1425
3.48,241,235
168.39,1407,2720
82.54,1123,2468
44.88,2716,1181
76.59,3114,1046
41.28,2672,2517
71.57,619,1733
35.16,2064,330
12.77,2601,888
18.99,286,1967
35.22,598,2757
14.18,969,1445
15.91,514,1315
41.45,278,919
23.47,534,1131
68.36,856,1334
3.77,1819,3296
36.2,2571,1971
89.97,3262,1135
14.16,273,1125
27.06,2077,285
11865.878897982306,4,926
25.78,3617,2704
296.48,2626,3123
50.03,1660,1688
149.73,2258,2698
63.28,1089,3506
45.22,226,2792
64.14,1421,1324
38.07,3472,2255
8.8,3256,2467
68.29,1365,135
29.9,494,3595
1.32,1073,698
45.53,2655,756
180.67,1299,3468
1.28,3261,2246
69.09,1867,1813
1.54,207,1538
1.93,940,2483
57.01,1330,1577
8.77,1647,173
10.01,3301,242
4.77,702,2985
18.61,2638,1047
48.21,75,2645
8.78,1405,1674
15.5,2253,1432
11.65,2828,2405
363.25,1290,744
14.34,3457,2682
7.75,1340,3239
25.64,2619,1202
31.44,3269,26
25.45,1674,89
27.51,2479,1978
167.82,3586,624
7.67,552,3107
121.22,2189,749
493.92,2597,2055
632.49,2575,3199
45.02,3375,2714
31.95,80,1797
704.27,3326,1398
57.96,1329,2909
58.04,2256,3368
277.95,3446,670
112.23,1249,669
28.34,2172,2132
4867.820881943625,23,3106
162.47,608,702
32.21,2999,2968
5.07,1204,2946
4.36,2788,2433
58.73,98,2521
3.66,782,3526
588.85,359,1304
5.86,2654,1125
292.86,3188,3373
20.67,4,2736
2.28,1285,1243
32.73,1351,2528
66.1,3078,598
53.69,2391,2402
4.64,227,328
18.06,852,3228
152.22,801,1306
210.5,3360,170
1.24,2528,324
54.61,3075,577
69.74,2860,268
2544.822475051724,5,263
30.87,2295,710
3.07,3049,3383
11.58,1139,1277
1.09,292,2980
190.86,2029,3388
28.93,3529,2714
53.5,2977,3022
53.73,1668,1208
181.44,589,286
3.04,2028,2819
1.36,2832,1457
8.79,883,2625
25.33,3627,622
83.24,699,765
13.62,2692,2220
12.93,2667,1671
1077.03,3402,1013
72.96,2952,1154
5.0,2549,2434
11.29,1783,2965
6.26,2241,2562
21.65,1703,1611
8.67,2714,754
25.33,1215,552
54.04,2447,435
11.42,2093,2867
33.77,311,2617
63.36,2690,2220
15.44,668,3019
14.03,905,1865
7.75,1952,294
0.2,1461,976
3.36,68,505
17.53,1390,2080
94.15,2912,1557
43.35,803,938
150.11192429783753,12,1550
99.15,1990,3172
25.51,2274,1201
230.62,1597,560
10.54,2931,2725
27.94,702,2775
18.68,2761,3068
13.57,3404,3215
123.4,2071,2500
24.51,1623,2497
16.32,1163,2682
79.05,3357,1420
67.52,3136,1522
135.47,2542,2075
132.96,563,2494
65.37,2588,848
28.32,3410,1950
34.32,3313,816
19.43,62,1388
36.24,558,1817
3.46,2659,3388
13.41,1080,1769
72.79,2028,1523
97.8,609,494
63.57,1920,3162
38.4,382,1425
50.56,1765,1788
10.13,2131,572
7.36,801,2347
36.13,1767,2966
35.77,887,2608
629.55,1262,2649
36.32,798,97
17.5,1322,2253
3.67,3008,2595
65.08,2745,348
49.66,1365,3312
15.67,1939,3057
17.91,1044,2701
0.08,1772,240
35.79,3106,422
24.52,1440,2299
83.6,2957,3316
113.32,2951,3582
20.4,3293,2049
4.1,87,3310
16.92,2842,2624
83.14,3436,2933
168.93,2783,1493
2770.249844390928,5,123
93.18,244,1050
131.64,331,2071
8505.201358417711,22,621
172.89,2506,880
15.49,3049,690
28.57,3594,2150
32.2,1529,564
194.94,1280,517
194.71,1134,1968
16.95,3068,1254
109.59,2635,1548
16.51,1541,1655
11.42,3048,1951
78.63,794,428
8.37,2470,3320
35.38,2527,736
1.95,757,75
91.07,1166,2461
7.51,796,1515
162.23,1575,3451
86.59,2714,1911
101.65,1875,1811
136.78,3099,57
306.68,3604,1830
14.66,1319,2259
22.62,3322,1348
13.01,1634,3318
10.8,508,551
53.38,1777,735
14.71,764,1675
473.8,2604,2832
92.31,1072,760
17.67,2890,1044
177.98,2039,988
1.12,851,1379
323.35,1787,2089
1.71,2402,2672
604.32,1387,526
6.6,667,2897
12.16,2652,1739
94.57,77,1144
30.14,1734,2817
1186.57,268,1689
12.29,3117,1943
20.02,910,3456
11.13,1561,2947
12.04,1548,2004
7.55,1427,3251
107.43,377,1171
332.75,3114,532
60.02,612,2849
84.76,2060,533
57.53,3267,3480
131.53,3225,1108
23.41,1262,1684
71.3,3174,1481
27.3,7,2449
19.7,601,2602
17.35,2442,2265
152.25,951,1775
18.24,2629,1790
10.17,3627,932
35.91,1417,1594
31.33,751,196
18.32,2788,2787
34.65,3050,375
18.49,1071,7
4.34,3101,3128
54.33,2166,377
14.76,3461,781
30.17,1346,958
15.17,1302,44
5.31,1874,1593
53.43,1614,1969
129.63,2779,1928
41.18,2924,934
5.15,1198,233
83.14,2902,2778
70.4,3380,1700
39.18,1648,2184
36.24,805,815
1.63,3256,2286
266.65,3397,3463
12.89,3312,2079
61.33,1207,2420
6.1,1595,2564
60.34,3110,2874
23.16,1016,2926
13.66,2765,2114
87.85,1932,1480
20.45,300,1563
195.77,478,2057
42.66,2214,3612
12.35,2622,414
18.43,779,1296
1.87,2118,432
49.78,1227,2110
3.77,3011,1773
15.75,700,1872
26.07,1730,1316
10.6,1600,1493
12.66,2720,554
237.34,1533,746
62.26,3152,134
12.93,1348,3409
8.15,3496,372
245.74,844,1407
3.8,2644,3360
36.83,3331,2959
26.72,355,494
89.44,759,3031
28.43,3089,2919
16.26,708,2735
169.89,100,2887
175.02,2003,489
53.31,2871,1991
51.54,993,1901
88.27,2162,1106
9.4,2771,916
45.01,842,2180
2.58,2692,295
50.46,151,3019
16.7,761,1740
37.64,2238,3051
116.5,579,2407
37.28,3454,1803
6.6,130,2721
28.77,2106,1423
31.53,2562,2267
24.41,1782,931
8.6,2808,2694
163.54,2347,270
0.86,2350,1919
40.2,410,1350
28.37,3299,1209
30.54,1207,3532
13.23,864,246
25.55,30,1795
13.14,3079,2731
1.48,1755,3078
241.79,2713,1884
37.36,3506,300
6.67,2911,3461
2.92,422,3074
31.98,3198,1000
37.9,567,3414
29.91,1709,2148
42.55,2772,3065
4.36,2415,1527
104.46,878,2261
44.94,3298,3316
50.91,1740,2069
41.41,2805,2818
24.45,1629,847
2.69,239,3302
182.51,1863,1087
20.95,2257,1089
313.32,2608,2273
121.18,3202,3409
6.37,1620,1933
35.28,2667,2955
519.19,2773,1154
39.67,1766,2941
15.42,2823,2351
191.3,420,2737
6.92,319,1633
327.28,2281,3322
2.95,3052,1829
55.61,564,397
39.51,1610,2594
50.61,2791,401
168.51,3186,234
9.89,605,503
1.93,1349,838
138.61,898,2046
14.63,2657,3516
48.85,3634,1247
121.99,3219,1352
260.63,707,153
8.09,2287,2723
132.91,369,998
71.12,253,450
252.32,2880,3378
20.77,2912,1885
7.42,1064,2240
310.07,2733,2224
3.18,3097,1486
223.44,1601,1399
1314.87,1704,2934
9.83,2787,2936
2.24,1020,1019
30.31,3188,1496
368.58,1350,525
488.88,2388,2625
20.25,3368,3434
17.05,3574,1445
976.47,433,2516
1263.82,2023,884
19.0,2550,3393
204.38,2065,2952
3873.36,166,285
24.92,181,3165
54.05,1221,1494
32.11,2644,1968
1.46,83,3268
10.3,1991,193
540.92,1692,2702
5.38,193,1655
6.15,3337,3357
24.93,3642,257
38.25,575,2592
6.38,1075,1642
34.62,3143,1974
199.07,1152,3188
51.18,546,1084
24.14,731,158
75.11,94,2801
41.44,2156,3404
49.66,114,2333
37.59,864,1814
12.93,2535,873
34.88,387,2895
7.57,2943,2920
1.56,1698,878
10.51,1101,2641
23.3,2481,1033
14.1,2361,3547
25.6,67,656
122.73,654,3082
10.67,2718,3349
764.36,2866,822
145.66,1511,2976
36.14,1250,2405
49.78,1877,2188
19.13,105,956
2.81,2582,3405
550.6259947150065,5,2353
67.88,2188,2447
8.26,3328,624
100.87,2398,375
8.47,532,1106
43.7,1490,136
94.38,3140,1947
7.97,1583,3060
11731.340148132653,28,3398
1.32,2989,2160
632.64,1111,2192
7.1,2184,667
11.04,1816,3295
14.95,416,1541
9.86,999,2375
26.29,2997,3145
25.21,2424,582
23.18,1656,2499
91.64,705,1476
1.05,2149,1550
20.37,289,2647
11.5,960,419
56.97,1512,1409
131.27,2151,732
63.02,2073,1064
195.23,126,366
11.58,386,3052
28.83,2528,321
29.09,2110,2557
248.62,3403,555
25.6,2287,113
6.46,427,2152
16.76,1580,124
56.28,79,2202
23.09,232,3378
10.17,1304,1956
24.51,684,3437
171.66,2765,1823
1.08,2523,1681
127.44,505,190
137.31,1019,2680
18.04,2553,1597
34.81,113,1855
7.02,1788,1472
5.01,194,2069
204.3,2007,3441
24.92,1625,2099
4.31,2089,2257
119.52,342,3001
2.56,463,487
77.85,3323,2567
116.92,2435,953
1086.35,150,1673
10.76,1371,2030
16.09,1879,3059
25.22,3096,2306
8.95,2104,1957
131.83,2867,708
11.11,540,1183
51.2,934,1569
229.44,1698,582
228.95,2130,3604
288.52,2965,713
31.17,3048,2000
14.73,2383,144
48.0,385,1932
15.09,3137,1403
98.54,896,772
4.12,1123,131
24.1,976,1271
199.66,2750,269
35.87,277,260
83.12,61,1773
8350.161658593071,9,2046
20.01,3442,513
1.97,1881,100
4.58,1256,2203
264.03,2815,1255
12.58,1617,608
14.97,984,294
20.42,2532,945
11.58,2038,3285
93.33,1872,1765
12.52,316,3005
14.43,1356,2668
62.23,3120,2912
4.62,1190,1399
4.57,3488,3202
9.82,3275,904
1341.446765288614,25,2193
10.27,2829,1378
28.14,2850,1149
143.01,2639,1814
10.83,2934,2445
712.46,57,271
11.21,237,1873
63.52,3633,1385
12.71,2762,314
56.91,2698,2336
137.9,1673,3596
12.71,1805,2401
49.89,2479,131
164.7,119,1422
3.14,939,234
1302.89,2353,196
6.2,731,50
17.92,2223,3148
17.22,382,2881
10.78,443,1120
49.65,3512,3383
2.11,858,1595
89.7,2537,564
23.2,117,652
105.35,3458,746
11.8,164,114
12.69,954,3111
27.0,3386,1666
11.44,2303,1286
5.17,1456,274
31.69,1026,3098
50.61,2822,76
4011.278939898226,19,683
8.12,1214,152
14.94,455,1180
4.96,3344,874
29.51,1192,3616
834.77,645,2844
33.97,3443,3620
1177.59,2519,3294
76.22,264,2621
6.54,1993,2890
44.3,397,2262
1.47,3613,3009
13.63,3030,980
18.51,2046,1549
2071.276534992811,3,1481
8.46,1450,3245
68.7,3096,521
90.5,505,960
464.67,1409,1377
89.14612214727397,18,2614
33.38,255,658
25.42,2761,1619
49.62,369,3561
195.0,1525,2568
37.74,1160,1017
4.73,2661,406
41.01,1312,2416
21.44,1240,597
7.03,1663,3275
5.2,1139,1181
9.81,769,459
12.57,1891,3442
226.78,2955,566
214.81,2693,1035
11.61,8,773
8.93,856,774
29.07,1743,37
32.68,799,3541
10.1,2014,1639
32.34,3633,2933
356.3072578545451,18,3070
27.95,2079,2842
24.31,230,2248
20.75,3191,2711
272.19,3635,2829
235.06,798,3104
16.79,3035,924
96.11,63,1608
21.53,1151,294
41.87,2441,452
25.38,2802,3353
12.24,1314,1614
34.46,3405,2989
39.38,1519,2838
3.71,3071,165
131.22,3477,818
25.98,1616,2963
1.29,3211,1081
2.18,860,582
13.26,887,2585
40.62,2096,1516
24.14,812,200
57.77,2206,286
41.39,1351,3057
24.9,462,1709
33.61,2368,999
8.17,3438,2055
187.95,3337,2082
37.49,2373,1757
176.21,1789,1764
202.43,2655,890
44.72,1690,3428
14.24,1644,1076
42.25,3505,1898
15.06,2314,1753
82.18,2092,2646
43.95,2817,881
14.83,280,618
8.14,2883,3538
68.96,891,2754
19.95,784,2701
7.35,3392,794
5.16,378,2713
12.6,2281,1446
324.24,1719,3057
88.57,3122,1976
26.61,3085,1758
104.96,937,1033
52.7,2416,3452
476.964245062593,15,2984
30.74,505,776
11.38,2954,1583
119.91,2644,670
50.4,1802,2175
151.15,36,2844
76.26,3477,2908
16.36,3435,1334
66.54,2616,3158
130.59,528,3017
51.38,770,1056
5.99,1559,312
56.75,547,3217
16.53,448,1211
3.76,3088,2269
63.35,1225,1515
72.55,1479,2057
5.66,3588,2314
26.98,2521,584
4.17,878,2096
103.05,2596,932
27.78,1248,2145
139.77,3371,1823
5.27,1892,1286
4.82,2189,1614
46.64,970,1323
1.36,2845,191
25.69,2181,1900
600.5,1842,2639
12.18,2603,1790
548.54,3251,3560
13.67,547,3621
45.14,3158,1937
8.37,2038,3112
1.26,77,2756
15.28,1658,150
58.31,2297,1410
2562.519675688473,5,1064
53.77,2174,2675
9.22,1250,2137
16.61,2003,962
7.86,3135,2022
6.79,961,2947
85.35,549,1753
28.12,3145,3107
189.67,2811,260
25.3,2019,60
61.54,285,1896
39.28,3409,2210
10.03,249,2048
159.18,2859,1850
7.82,197,2615
25.07,2727,427
45.99,21,818
22.68,997,3196
55.08,3621,607
17.65,362,3436
226.73,1276,2620
56.99,1133,2034
23.44,967,2085
32.74,1040,2165
3.43,1204,2457
21.84,2966,2920
47.13,2617,3006
21.82,691,2773
17.12,2399,843
51.57,2530,833
58.62,1868,255
193.37,860,1487
22.85,1874,2378
6.18,1078,2630
33.69,352,957
2.26,1110,2287
234.64,2990,3411
19.81,3303,2961
313.59,3413,2263
1135.72,2986,3467
103.61523952137208,9,2969
8.69,71,521
1.22,1218,1666
57.04,2136,1744
29.65,856,400
91.4,2821,2247
99.4,3494,3014
146.21,339,936
1572.2762146867894,4,1766
5.03,249,2407
20.97,132,2256
2.31,184,729
229.7,3296,398
2.28,769,2209
322.57,182,3130
140.43,3196,107
3.84,2609,1255
22.48,1238,1756
7.15,2399,2453
5.12,1792,602
19.85,1803,2581
61.26,2579,1157
26.74,2817,1970
21.89,3117,540
342.31,77,280
115.35,1710,1432
21.12,805,2735
19.83,308,3486
10.19,1736,2583
32.75,91,1213
41.65,3177,2011
380.1,3125,2086
60.02,1968,2186
22.95,2334,2464
24.74,2729,1504
24.62,2413,1497
10.67,689,1791
7.55,2331,3059
96.85,3586,775
55.1,2318,2094
9.41,286,3564
2.52,514,2036
122.53,3410,2441
7.19,375,591
595.9,2825,2586
91.7,568,1168
29.65,2793,1004
2.7,2292,739
318.5,653,2442
10.86,1242,1578
12.4,374,1319
5403.1,313,1397
272.22,706,2237
176.86,638,3071
230.97,2774,1343
86.28,922,3538
62.06,2992,1020
39.48,482,654
10.21,728,3523
56.99,2855,313
261.67,870,1130
819.02,2558,625
16.54,1614,2422
16.32,1894,1241
95.91,1342,2195
2.93,2600,1858
2676.6,3252,819
57.55,598,428
8.43,1040,2830
16.52,2313,2476
11.35,2898,3582
5.14,150,483
34.89,2001,1204
84.5,540,644
24.19,3604,2102
53.48,2778,1410
109.87,1423,3399
154.29,618,758
15.29,80,3021
2463.47,2381,3126
16.96,3288,2001
10.32,464,3036
179.8,52,1381
39.4,1502,3422
4.81,1059,3096
28.68,4,391
249.8,737,2346
64.23,2382,2905
26.77,1270,534
259.4,2473,124
17.84,2658,1960
11.79,1658,1012
220.21,468,2489
11.48,985,2653
37.76,2103,1574
35.69,199,2245
3325.4615229693345,29,3122
6.69,1174,2249
136.67,3313,254
53.49,1887,1860
20.74,2122,309
59.12,193,1271
19.9,1266,3037
261.43,2999,965
69.38,2220,3515
18.53,3531,668
63.79,759,1894
5.49,3620,3244
